,Unnamed: 0,Review id,Product Name,Product id,Action,Agent,Environment,Feature,Review Body,Rating,Valence,Annotation Description,Annotation Label,Annotation,Annotation Date,review sentences,Sentences Actions,Action Flag
5690,5690,1521,"HP - ENVY x360 2-in-1 13.3"" Touchscreen Laptop - Intel Evo Platform - Intel Core i7 - 8GB Memory - 512GB SSD - Pale Gold",http://linked.aub.edu.lb/actionrec/Product/13m_bd0023dx,ConnectAction,Person,Universal,OperatingSystem,"HP - ENVY x360 2-in-1 13.3"" Touchscreen LaptopThis is a very nice looking and well made convertible Windows laptop. The box included the laptop and the power adapter. Physical setup was pretty easy. Cortana prompted me through it all. The volume was initially a bit loud. I had to turn it down.The touchpad is logically divided with the left side being a left-click and the right side being the right-click.I have a Microsoft account and use Office 365 so it was easy to connect to OneDrive and office apps. I was hoping to use Windows Face Hello, but it appears to not support that. I went in to Settings and it said the laptop didn^t have the right camera to support this, so I setup Windows Hello Fingerprint and PIN. I always register multiple fingers on both hands to allow for bandaids and other recognition issuesSetup seemed to really want me to sign in to Dropbox. I have a Dropbox account, so I did that.The laptop comes with a 30 day trial for McAfee, but I use BitDefender, so I made that switch.After the initial setup, I installed a few apps that I use on my Windows PCs. One is the Axis Camera Companion V4. For some reason, I had a lot of trouble getting that app to work on this laptop. I tried to run the HP Support Assistant to make sure I had all of the latest drivers, but that also would not run. I followed the instructions to restart my PC and ultimately to in-install and re-install Support Assistant. That fixed the SA problem. After that I ran SA and found three drivers that required updates. I updated the WLAN driver, Intel HD Graphics Driver and Realtek CardReader Driver. I was eventually able to get the application running.I really like the buttons (function keys) for controlling the microphone and camera. Just like the speakers, I can turn them off with the touch of a button.The HD display is very crisp and clear. Audio has nice fidelity, but lacks bass, most likely due to limitations in the size of the laptop enclosure. However, I did find both audio and video provided for a very nice streaming experience for me. Video was very pleasant to watch and hear.Though I likely won^t use this as a tablet very often, the mechanics for converting to a tablet work very well and are very smooth. It is trivial to flip the display and start using it as a tablet. The display changes to ÃÂ¢ÃÂÃÂauto-rotateÃÂ¢ÃÂÃÂ automatically. The laptop doesn^t ship with a pen, so I don^t know how well that works.Overall, I^d say this is another quality laptop from HP and I would recommend it to others looking for a product like this.If I could withhold a half a star for shipping with some out of date software directly from China to me, I would do that, but for purposes of this review I^ll assume that is an early release issue and I^ll round up to 5 stars for a highly portable convertible laptop with nice features and attributes.",5,positive,The person likes that he can connect easily to Microsoft office apps on this laptop.,I have a Microsoft account and use Office 365 so it was easy to connect to OneDrive and office apps.,http://linked.aub.edu.lb/actionrec/Annotation/9736846b16ef6b30a8c8c6b08aac4842,2021-02-21T14:07:31,I had to turn it down.The touchpad is logically divided with the left side being a left-click and the right side being the right-click.I have a Microsoft account and use Office 365 so it was easy to connect to OneDrive and office apps.,ConnectAction,Action Exist
5780,5780,1524,"HP - ENVY x360 2-in-1 13.3"" Touchscreen Laptop - Intel Evo Platform - Intel Core i7 - 8GB Memory - 512GB SSD - Pale Gold",http://linked.aub.edu.lb/actionrec/Product/13m_bd0023dx,StreamAction,Person,Universal,ScreenQuality,"HP - ENVY x360 2-in-1 13.3"" Touchscreen LaptopThis is a very nice looking and well made convertible Windows laptop. The box included the laptop and the power adapter. Physical setup was pretty easy. Cortana prompted me through it all. The volume was initially a bit loud. I had to turn it down.The touchpad is logically divided with the left side being a left-click and the right side being the right-click.I have a Microsoft account and use Office 365 so it was easy to connect to OneDrive and office apps. I was hoping to use Windows Face Hello, but it appears to not support that. I went in to Settings and it said the laptop didn^t have the right camera to support this, so I setup Windows Hello Fingerprint and PIN. I always register multiple fingers on both hands to allow for bandaids and other recognition issuesSetup seemed to really want me to sign in to Dropbox. I have a Dropbox account, so I did that.The laptop comes with a 30 day trial for McAfee, but I use BitDefender, so I made that switch.After the initial setup, I installed a few apps that I use on my Windows PCs. One is the Axis Camera Companion V4. For some reason, I had a lot of trouble getting that app to work on this laptop. I tried to run the HP Support Assistant to make sure I had all of the latest drivers, but that also would not run. I followed the instructions to restart my PC and ultimately to in-install and re-install Support Assistant. That fixed the SA problem. After that I ran SA and found three drivers that required updates. I updated the WLAN driver, Intel HD Graphics Driver and Realtek CardReader Driver. I was eventually able to get the application running.I really like the buttons (function keys) for controlling the microphone and camera. Just like the speakers, I can turn them off with the touch of a button.The HD display is very crisp and clear. Audio has nice fidelity, but lacks bass, most likely due to limitations in the size of the laptop enclosure. However, I did find both audio and video provided for a very nice streaming experience for me. Video was very pleasant to watch and hear.Though I likely won^t use this as a tablet very often, the mechanics for converting to a tablet work very well and are very smooth. It is trivial to flip the display and start using it as a tablet. The display changes to ÃÂ¢ÃÂÃÂauto-rotateÃÂ¢ÃÂÃÂ automatically. The laptop doesn^t ship with a pen, so I don^t know how well that works.Overall, I^d say this is another quality laptop from HP and I would recommend it to others looking for a product like this.If I could withhold a half a star for shipping with some out of date software directly from China to me, I would do that, but for purposes of this review I^ll assume that is an early release issue and I^ll round up to 5 stars for a highly portable convertible laptop with nice features and attributes.",5,positive,The person likes the screen quality of this laptop when streaming on it., I did find both audio and video provided for a very nice streaming experience for me.,http://linked.aub.edu.lb/actionrec/Annotation/41afcacf4ae30993af935aff724b1d83,2021-02-21T14:23:21,"However, I did find both audio and video provided for a very nice streaming experience for me.",StreamAction,Action Exist
5829,5829,1526,"HP - ENVY x360 2-in-1 13.3"" Touchscreen Laptop - Intel Evo Platform - Intel Core i7 - 8GB Memory - 512GB SSD - Pale Gold",http://linked.aub.edu.lb/actionrec/Product/13m_bd0023dx,ListenAction,Person,Universal,Speakers,"HP - ENVY x360 2-in-1 13.3"" Touchscreen LaptopThis is a very nice looking and well made convertible Windows laptop. The box included the laptop and the power adapter. Physical setup was pretty easy. Cortana prompted me through it all. The volume was initially a bit loud. I had to turn it down.The touchpad is logically divided with the left side being a left-click and the right side being the right-click.I have a Microsoft account and use Office 365 so it was easy to connect to OneDrive and office apps. I was hoping to use Windows Face Hello, but it appears to not support that. I went in to Settings and it said the laptop didn^t have the right camera to support this, so I setup Windows Hello Fingerprint and PIN. I always register multiple fingers on both hands to allow for bandaids and other recognition issuesSetup seemed to really want me to sign in to Dropbox. I have a Dropbox account, so I did that.The laptop comes with a 30 day trial for McAfee, but I use BitDefender, so I made that switch.After the initial setup, I installed a few apps that I use on my Windows PCs. One is the Axis Camera Companion V4. For some reason, I had a lot of trouble getting that app to work on this laptop. I tried to run the HP Support Assistant to make sure I had all of the latest drivers, but that also would not run. I followed the instructions to restart my PC and ultimately to in-install and re-install Support Assistant. That fixed the SA problem. After that I ran SA and found three drivers that required updates. I updated the WLAN driver, Intel HD Graphics Driver and Realtek CardReader Driver. I was eventually able to get the application running.I really like the buttons (function keys) for controlling the microphone and camera. Just like the speakers, I can turn them off with the touch of a button.The HD display is very crisp and clear. Audio has nice fidelity, but lacks bass, most likely due to limitations in the size of the laptop enclosure. However, I did find both audio and video provided for a very nice streaming experience for me. Video was very pleasant to watch and hear.Though I likely won^t use this as a tablet very often, the mechanics for converting to a tablet work very well and are very smooth. It is trivial to flip the display and start using it as a tablet. The display changes to ÃÂ¢ÃÂÃÂauto-rotateÃÂ¢ÃÂÃÂ automatically. The laptop doesn^t ship with a pen, so I don^t know how well that works.Overall, I^d say this is another quality laptop from HP and I would recommend it to others looking for a product like this.If I could withhold a half a star for shipping with some out of date software directly from China to me, I would do that, but for purposes of this review I^ll assume that is an early release issue and I^ll round up to 5 stars for a highly portable convertible laptop with nice features and attributes.",5,negative,"The person don""t like that he/she can""t hear the audio bass","Audio has nice fidelity, but lacks bass,",http://linked.aub.edu.lb/actionrec/Annotation/e618fc2ce4d524afafd10d490869ef53,2021-02-21T14:35:55,"Audio has nice fidelity, but lacks bass, most likely due to limitations in the size of the laptop enclosure.",ListenAction,Action Exist
5856,5856,1527,"HP - ENVY x360 2-in-1 13.3"" Touchscreen Laptop - Intel Evo Platform - Intel Core i7 - 8GB Memory - 512GB SSD - Pale Gold",http://linked.aub.edu.lb/actionrec/Product/13m_bd0023dx,ListenAction,Person,Universal,Speakers,"HP - ENVY x360 2-in-1 13.3"" Touchscreen LaptopThis is a very nice looking and well made convertible Windows laptop. The box included the laptop and the power adapter. Physical setup was pretty easy. Cortana prompted me through it all. The volume was initially a bit loud. I had to turn it down.The touchpad is logically divided with the left side being a left-click and the right side being the right-click.I have a Microsoft account and use Office 365 so it was easy to connect to OneDrive and office apps. I was hoping to use Windows Face Hello, but it appears to not support that. I went in to Settings and it said the laptop didn^t have the right camera to support this, so I setup Windows Hello Fingerprint and PIN. I always register multiple fingers on both hands to allow for bandaids and other recognition issuesSetup seemed to really want me to sign in to Dropbox. I have a Dropbox account, so I did that.The laptop comes with a 30 day trial for McAfee, but I use BitDefender, so I made that switch.After the initial setup, I installed a few apps that I use on my Windows PCs. One is the Axis Camera Companion V4. For some reason, I had a lot of trouble getting that app to work on this laptop. I tried to run the HP Support Assistant to make sure I had all of the latest drivers, but that also would not run. I followed the instructions to restart my PC and ultimately to in-install and re-install Support Assistant. That fixed the SA problem. After that I ran SA and found three drivers that required updates. I updated the WLAN driver, Intel HD Graphics Driver and Realtek CardReader Driver. I was eventually able to get the application running.I really like the buttons (function keys) for controlling the microphone and camera. Just like the speakers, I can turn them off with the touch of a button.The HD display is very crisp and clear. Audio has nice fidelity, but lacks bass, most likely due to limitations in the size of the laptop enclosure. However, I did find both audio and video provided for a very nice streaming experience for me. Video was very pleasant to watch and hear.Though I likely won^t use this as a tablet very often, the mechanics for converting to a tablet work very well and are very smooth. It is trivial to flip the display and start using it as a tablet. The display changes to ÃÂ¢ÃÂÃÂauto-rotateÃÂ¢ÃÂÃÂ automatically. The laptop doesn^t ship with a pen, so I don^t know how well that works.Overall, I^d say this is another quality laptop from HP and I would recommend it to others looking for a product like this.If I could withhold a half a star for shipping with some out of date software directly from China to me, I would do that, but for purposes of this review I^ll assume that is an early release issue and I^ll round up to 5 stars for a highly portable convertible laptop with nice features and attributes.",5,positive,The person likes the audio of videos on this laptop.,hear,http://linked.aub.edu.lb/actionrec/Annotation/80fb8668c243c480a723c4b1c587bcf9,2021-02-21T14:39:15,"Video was very pleasant to watch and hear.Though I likely won^t use this as a tablet very often, the mechanics for converting to a tablet work very well and are very smooth.",ListenAction,Action Exist
5888,5888,1529,"HP - ENVY x360 2-in-1 13.3"" Touchscreen Laptop - Intel Evo Platform - Intel Core i7 - 8GB Memory - 512GB SSD - Pale Gold",http://linked.aub.edu.lb/actionrec/Product/13m_bd0023dx,WriteAction,Person,Universal,TouchScreen,"I do love this computer. You can read all the specs above and in the other reviews, so I will focus on the aspects of this machine that I feel are most important. First, it is a perfect size for me and weighs under 3 lbs. The 360-degree hinge on the touch screen allows me to take notes and draw in many different configurations. Build quality, fit and finish are top notch. It was a very pleasant surprise to discover that my Surface Pen not only works for inking, but also will pair by Bluetooth and retain all the programmable functions of the Pen^s buttons. This includes the eraser tip and the ÃÂ¢ÃÂÃÂclick for a screen snipÃÂ¢ÃÂÃÂ feature. Marvelous! The Pen also will adhere magnetically to several different areas of the lid and body (see the picture). The keyboard and track pad are among the best I have ever encountered and using them is delightful. Palm rejection is not perfect, but I have always had trouble with this ever since my hands had to hover over a sensitive touch surface. The display does have a polarizer that is used for the security feature. Getting used to this feature is akin to the habituation needed for bifocal glasses; within a short time, I have learned to adjust my angle of view to be able to see the entire screen with even light distribution. Having done so, I am rewarded with a crisp, bright (1000 nits!) display that is simply gorgeous. Set-up and installation of all my applications took almost no time at all since this 11th-generation i7 really flies. Complex graphics functions in Photoshop are digested nearly instantaneously. During my normal work routine, the fans almost never turn on, and when they do, the sound is not distracting to me. What could HP do differently to create a better experience? Of course, they could include a stylus. You might not like the viewing angles with the polarizer, so there is another screen option that does not include this. Your needs might be better served with a 3:2 aspect ratio, and for that you could spend several hundred dollars more for the HP Spectre 14. Windows Hello with IR camera and face recognition would have been nice, but the fingerprint scanner is faster and more reliable. I can^t think of another 13ÃÂ¢ÃÂÃÂ laptop I would rather have, at any price. I would recommend this very highly to anyone who is looking for a beautiful, well-built and blisteringly fast machine that is easy to carry about.",5,positive,The person likes this laptop to take notes.,The 360-degree hinge on the touch screen allows me to take notes,http://linked.aub.edu.lb/actionrec/Annotation/89ee71c7de193e2cb5ed54b7abc78be5,2021-02-21T14:48:49,The 360-degree hinge on the touch screen allows me to take notes and draw in many different configurations.,WriteAction,Action Exist
5913,5913,1530,"HP - ENVY x360 2-in-1 13.3"" Touchscreen Laptop - Intel Evo Platform - Intel Core i7 - 8GB Memory - 512GB SSD - Pale Gold",http://linked.aub.edu.lb/actionrec/Product/13m_bd0023dx,DrawAction,Person,Universal,TabletFunction,"I do love this computer. You can read all the specs above and in the other reviews, so I will focus on the aspects of this machine that I feel are most important. First, it is a perfect size for me and weighs under 3 lbs. The 360-degree hinge on the touch screen allows me to take notes and draw in many different configurations. Build quality, fit and finish are top notch. It was a very pleasant surprise to discover that my Surface Pen not only works for inking, but also will pair by Bluetooth and retain all the programmable functions of the Pen^s buttons. This includes the eraser tip and the ÃÂ¢ÃÂÃÂclick for a screen snipÃÂ¢ÃÂÃÂ feature. Marvelous! The Pen also will adhere magnetically to several different areas of the lid and body (see the picture). The keyboard and track pad are among the best I have ever encountered and using them is delightful. Palm rejection is not perfect, but I have always had trouble with this ever since my hands had to hover over a sensitive touch surface. The display does have a polarizer that is used for the security feature. Getting used to this feature is akin to the habituation needed for bifocal glasses; within a short time, I have learned to adjust my angle of view to be able to see the entire screen with even light distribution. Having done so, I am rewarded with a crisp, bright (1000 nits!) display that is simply gorgeous. Set-up and installation of all my applications took almost no time at all since this 11th-generation i7 really flies. Complex graphics functions in Photoshop are digested nearly instantaneously. During my normal work routine, the fans almost never turn on, and when they do, the sound is not distracting to me. What could HP do differently to create a better experience? Of course, they could include a stylus. You might not like the viewing angles with the polarizer, so there is another screen option that does not include this. Your needs might be better served with a 3:2 aspect ratio, and for that you could spend several hundred dollars more for the HP Spectre 14. Windows Hello with IR camera and face recognition would have been nice, but the fingerprint scanner is faster and more reliable. I can^t think of another 13ÃÂ¢ÃÂÃÂ laptop I would rather have, at any price. I would recommend this very highly to anyone who is looking for a beautiful, well-built and blisteringly fast machine that is easy to carry about.",5,positive,The person likes the 3tablet function of this laptop to draw in various configurations.,draw in many different configurations.,http://linked.aub.edu.lb/actionrec/Annotation/4ee92c485ebb3ebee238b14a9fd9abc5,2021-02-21T14:50:12,The 360-degree hinge on the touch screen allows me to take notes and draw in many different configurations.,DrawAction,Action Exist
5954,5954,1531,"HP - ENVY x360 2-in-1 13.3"" Touchscreen Laptop - Intel Evo Platform - Intel Core i7 - 8GB Memory - 512GB SSD - Pale Gold",http://linked.aub.edu.lb/actionrec/Product/13m_bd0023dx,DrawAction,Person,Universal,Stylus,"I do love this computer. You can read all the specs above and in the other reviews, so I will focus on the aspects of this machine that I feel are most important. First, it is a perfect size for me and weighs under 3 lbs. The 360-degree hinge on the touch screen allows me to take notes and draw in many different configurations. Build quality, fit and finish are top notch. It was a very pleasant surprise to discover that my Surface Pen not only works for inking, but also will pair by Bluetooth and retain all the programmable functions of the Pen^s buttons. This includes the eraser tip and the ÃÂ¢ÃÂÃÂclick for a screen snipÃÂ¢ÃÂÃÂ feature. Marvelous! The Pen also will adhere magnetically to several different areas of the lid and body (see the picture). The keyboard and track pad are among the best I have ever encountered and using them is delightful. Palm rejection is not perfect, but I have always had trouble with this ever since my hands had to hover over a sensitive touch surface. The display does have a polarizer that is used for the security feature. Getting used to this feature is akin to the habituation needed for bifocal glasses; within a short time, I have learned to adjust my angle of view to be able to see the entire screen with even light distribution. Having done so, I am rewarded with a crisp, bright (1000 nits!) display that is simply gorgeous. Set-up and installation of all my applications took almost no time at all since this 11th-generation i7 really flies. Complex graphics functions in Photoshop are digested nearly instantaneously. During my normal work routine, the fans almost never turn on, and when they do, the sound is not distracting to me. What could HP do differently to create a better experience? Of course, they could include a stylus. You might not like the viewing angles with the polarizer, so there is another screen option that does not include this. Your needs might be better served with a 3:2 aspect ratio, and for that you could spend several hundred dollars more for the HP Spectre 14. Windows Hello with IR camera and face recognition would have been nice, but the fingerprint scanner is faster and more reliable. I can^t think of another 13ÃÂ¢ÃÂÃÂ laptop I would rather have, at any price. I would recommend this very highly to anyone who is looking for a beautiful, well-built and blisteringly fast machine that is easy to carry about.",5,negative,The person thinks that the laptop could have included a stylus for drawing.,they could include a stylus,http://linked.aub.edu.lb/actionrec/Annotation/0502fd1e5d27be9b375965e08f342e22,2021-02-21T14:59:19,"Of course, they could include a stylus.",DrawAction,Action Exist
5960,5960,1532,"HP - ENVY x360 2-in-1 13.3"" Touchscreen Laptop - Intel Evo Platform - Intel Core i7 - 8GB Memory - 512GB SSD - Pale Gold",http://linked.aub.edu.lb/actionrec/Product/13m_bd0023dx,TypeAction,Person,Universal,Keyboard,Working well for what my needs are enjoy the lighted keyboard and a lightweight Keys are large and easy to see works well with my Wi-Fi. I plan to carry it to the hospital well I stay there,5,positive,The person likes the keyboard to type on it.,Working well for what my needs are enjoy the lighted keyboard and a lightweight Keys are large and easy to see,http://linked.aub.edu.lb/actionrec/Annotation/69dbdc881678f896734b2e0e3a46c71e,2021-02-21T15:05:20,Working well for what my needs are enjoy the lighted keyboard and a lightweight Keys are large and easy to see works well with my Wi-Fi.,TypeAction,Action Exist
5964,5964,1533,"HP - ENVY x360 2-in-1 13.3"" Touchscreen Laptop - Intel Evo Platform - Intel Core i7 - 8GB Memory - 512GB SSD - Pale Gold",http://linked.aub.edu.lb/actionrec/Product/13m_bd0023dx,DrawAction,Person,Universal,Stylus,I got it on sale. It^s really nice and sleek. We love that it flips into a tablet and he can sketch on it with the hp stylus.,5,positive,The person likes to sketch with the HP stylus using this laptop as a tablet,he can sketch on it with the hp stylus.,http://linked.aub.edu.lb/actionrec/Annotation/16a024c808904791be279164b199530e,2021-02-21T15:07:56,We love that it flips into a tablet and he can sketch on it with the hp stylus.,DrawAction,Action Exist
5965,5965,1534,"HP - ENVY x360 2-in-1 13.3"" Touchscreen Laptop - Intel Evo Platform - Intel Core i7 - 8GB Memory - 512GB SSD - Pale Gold",http://linked.aub.edu.lb/actionrec/Product/13m_bd0023dx,WriteAction,Person,Universal,TabletFunction,"Highly  portable,  good for taking Notes as well as coding.",5,positive,The person likes to take notes with this laptop.,taking Notes,http://linked.aub.edu.lb/actionrec/Annotation/ddd2ced5573c95fb71ce67e082e98d6a,2021-02-21T15:11:07,"Highly  portable,  good for taking Notes as well as coding.",WriteAction,Action Exist
5977,5977,1535,"HP - ENVY x360 2-in-1 13.3"" Touchscreen Laptop - Intel Evo Platform - Intel Core i7 - 8GB Memory - 512GB SSD - Pale Gold",http://linked.aub.edu.lb/actionrec/Product/13m_bd0023dx,DrawAction,Person,Universal,TabletFunction,"Alright ladies and gents I had recently acquired a new HP laptop and I wanted to take the time to write a review for it. I""ll get right down to business. Let us start off with my initial thoughts. For anyone who has been keeping an eye on the competition with team blue & team red we know what has been happening as of late so there isn""t a need to fan those flames. With one of HP latest releases this Envy is solid all around and I""ll explain in detail as we delver further into the review. Upon opening the box you don""t get a fancy experience or anything like that but that is alright because it is the product itself that has to impress me not the box. The fact that HP decided to create a different colored laptop I can certainly appreciate that it is certainly a nice shade of gold but nothing flashy because it still has that metal looking finish to it. It is nice to see HP offer something other than the default gunmetal grey/silver.:::Build Quality:::The new Envy 13 has a nice bit of heft to it and feels solid in the hand. When you first open the laptop the hinge feels sturdy and solid and there is no wobble or creaking noises. That is a plus because this isn""t a poorly built product. I do not know if the correct term is all in one but the hinge rotates fully so it can be used in tent or tablet mode for drawing or taking notes.The keyboard is nice and has a good amount of spacing and the keys feel solid and has plenty of travel. the keys do not stick, they are not mushy or anything horrible like the new Mac keyboards. It feels good and has a normal springy feel nothing too crazy. The backlighting is adjustable and gets plenty bright so that you can actually see in a dark room, and the opposite can be said as well with the keys can be dimmed to a comfortable level and also to conserve battery life as well so there is a nice balance. I was pleasantly surprised with the webcam and I do not mean the actual webcam because it is a decent webcam and will get the job done. The webcam privacy cover has its own dedicated button to toggle the cover so that you have privacy which is essential in this day and age.The screen is bright it isn""t as bright as the premium televisions on the market but it will get bright enough to meet your needs, the viewing angles are great and If I am not mistaken this is an IPS display. The screen is also touchscreen and supports pen input as well. I tested my Envy with an existing HP stylus I had laying around from a previous HP laptop I own. I am not sure why my other laptop has a problem with One Note but thankfully that is not the case here I suspect perhaps a driver issue of some sort. The stylus experience is what you would expect from a device like this and is pleasant to use and will be helpful to students or artists or whomever has a use for a device like this. It is comparable to using a surface device after it is running on Windows OS.:::Specifications::Alright so we have touched on the aesthetics and build quality of the device let us touch on the specifications briefly. I will not go and repeat verbatim what the specs are because they are clearly listed on the page. I love the direction that PC manufacturers are headed in where we are getting SSD as the norm and this Envy has a respectable 512GB of storage. I am impressed with that because you can do quite a bit with that amount of storage and of course you can use the SD card slot I suppose for more storage or even an external drive. Now being that I have not went an attempted to open this up I went to crucial website and checked to see if this could be upgraded and provided that the RAM and SSD are not soldered then upgrading your memory and and ram should be possible. You could hypothetically swap the SSD for a bigger drive.Now my only complaint is the measly 8GB of RAM now that may be sufficient for most but I find that for the CPU configuration of an 11th gen quad core eight thread CPU 8GB won""t be sufficient for more demanding applications. But again I will do some research or take it to geek squad and see if this device has user replaceable RAM & SSD. Heck I may even open it up myself and peek under the hood.According to CPUZ theoretically you can install up to 128GB of RAM but there are only two slots on the board. I do not know if anyone actually makes memory modules of that size and I would not spend the money to install that on a laptop either to me that just doesn""t make sense. Again should this device support user replaceable components then I will most definitely swap out the current 8GB of DDR4 ram for 16GB. That will be the sweet spot on this device or at least for me and my usage it will be. The memory is running at a frequency of 732.3 MHz (1:11) and is single channel.Battery life now I feel that battery life has gotten better overtime I have the power slider on the third notch out of four and with mixed usage I am averaging approximately 7 and a half hours which isn""t bad at all but that is me actually using the laptop for more than word processing. I find myself running folding @ home sometimes, photoshop and some media consumption. I am sure that it is possible to squeeze more out of the battery but this is just my unique experience. The speakers are made by B&O so the sound is pretty good for a laptop HP has gotten better with their audio game as time has passed. While it will not blow you away like a home theater would that is expected because this isn""t for that kind of usage. The speakers get plenty loud and do not sound like a hollow tin can. There is some nice oomph to them. :::Pros & Con""s:::Pros:- Beautiful gold finish- Compact & sturdy - built in fingerprint sensor (works fast too)- touch & pen input- better than average battery life- decent amount of full sized ports & thunderbolt (I&O)Cons:- Measly 8GB of RAM :::Closing thoughts:::Still with me? If so thanks for reading so let me say that this is my favorite laptop that HP has released thus far. A lot of folk have been head over heels for some of the other line of devices like the Spectre series but this works well for me I just love nearly everything about this device. The camera, speakers, keyboard & trackpad, screen, I&O and battery life make this a solid product. It certainly will not replace my desktop but this can do almost as much and is compact and is great for almost everyone. :::TL:DR:::If you like big things in little packages then please check this device out. It has the latest offerings and is fast enough to keep up with you and you will not have to be tethered to the will. This HP laptop is truly a small powerhouse.",5,positive,The person likes the hinge rotation of this laptop to draw in tablet-mode,drawing,http://linked.aub.edu.lb/actionrec/Annotation/43e6dca35fb8824cced8820948c09aca,2021-02-21T15:14:14,I do not know if the correct term is all in one but the hinge rotates fully so it can be used in tent or tablet mode for drawing or taking notes.The keyboard is nice and has a good amount of spacing and the keys feel solid and has plenty of travel.,DrawAction,Action Exist
